interc	pval	asv_id	asv_id_star
NA	0.034	ASV_297_DG-II-Clade-7	*ASV_297_DG-II-Clade-7
NA	0.048	ASV_424_DG-II-Clade-21	*ASV_424_DG-II-Clade-21
NA	0.049	ASV_419_DG-II-Clade-10-and-11	*ASV_419_DG-II-Clade-10-and-11
NA	0.005	ASV_247_DG-II-Clade-1	**ASV_247_DG-II-Clade-1
NA	0.037	ASV_325_DG-I-Clade-5	*ASV_325_DG-I-Clade-5
NA	0.05	ASV_210_DG-II-Clade-7	*ASV_210_DG-II-Clade-7
NA	0.011	ASV_158_DG-I-Clade-1	*ASV_158_DG-I-Clade-1
NA	0.005	ASV_316_DG-II-Clade-1	**ASV_316_DG-II-Clade-1
NA	0.002	ASV_389_DG-II-Clade-26	**ASV_389_DG-II-Clade-26
NA	0.05	ASV_299_DG-I-Clade-5	*ASV_299_DG-I-Clade-5
NA	0.011	ASV_148_DG-II-Clade-12	*ASV_148_DG-II-Clade-12
NA	0.003	ASV_530_DG-II-Clade-1	**ASV_530_DG-II-Clade-1
NA	0.004	ASV_200_DG-II-Clade-6	**ASV_200_DG-II-Clade-6
NA	0.003	ASV_346_DG-IV-Hematodinium-Group	**ASV_346_DG-IV-Hematodinium-Group
NA	0.032	ASV_361_DG-II-Clade-1	*ASV_361_DG-II-Clade-1
NA	0.006	ASV_189_DG-II-Clade-7	**ASV_189_DG-II-Clade-7
NA	0.034	ASV_84_DG-II-Clade-9	*ASV_84_DG-II-Clade-9
NA	0.006	ASV_87_DG-II-Clade-47	**ASV_87_DG-II-Clade-47
NA	0.05	ASV_448_DG-II-Clade-14	*ASV_448_DG-II-Clade-14
NA	0.049	ASV_311_DG-II-Clade-1	*ASV_311_DG-II-Clade-1
NA	0.012	ASV_302_DG-II-Clade-28	*ASV_302_DG-II-Clade-28
NA	0.049	ASV_549_DG-I-Clade-2	*ASV_549_DG-I-Clade-2
NA	0.002	ASV_365_DG-II-Clade-10-and-11	**ASV_365_DG-II-Clade-10-and-11
NA	0.032	ASV_595_DG-I-Clade-5	*ASV_595_DG-I-Clade-5
NA	0.05	ASV_338_DG-II-Clade-47	*ASV_338_DG-II-Clade-47
NA	0.049	ASV_733_DG-II-Clade-1	*ASV_733_DG-II-Clade-1
NA	0.032	ASV_548_DG-II_X	*ASV_548_DG-II_X
NA	0.003	ASV_440_DG-IV-Hematodinium-Group	**ASV_440_DG-IV-Hematodinium-Group
NA	0.007	ASV_274_DG-II-Clade-22	**ASV_274_DG-II-Clade-22
NA	0.005	ASV_49_DG-II-Clade-33	**ASV_49_DG-II-Clade-33
NA	0.007	ASV_471_DG-II-Clade-9	**ASV_471_DG-II-Clade-9
NA	0.019	ASV_33_DG-II-Clade-4	*ASV_33_DG-II-Clade-4
NA	0.011	ASV_139_DG-II-Clade-6	*ASV_139_DG-II-Clade-6
NA	0.007	ASV_809_DG-V_X	**ASV_809_DG-V_X
NA	0.005	ASV_167_DG-II-Clade-12	**ASV_167_DG-II-Clade-12
NA	0.003	ASV_552_DG-II-Clade-10-and-11	**ASV_552_DG-II-Clade-10-and-11
NA	0.007	ASV_353_DG-II-Clade-7	**ASV_353_DG-II-Clade-7
NA	0.049	ASV_579_DG-I-Clade-4	*ASV_579_DG-I-Clade-4
NA	0.032	ASV_560_DG-II-Clade-5	*ASV_560_DG-II-Clade-5
NA	0.005	ASV_173_DG-II_X	**ASV_173_DG-II_X
NA	0.021	ASV_121_DG-IV-Syndinium-Group	*ASV_121_DG-IV-Syndinium-Group
NA	0.019	ASV_633_DG-II-Clade-6	*ASV_633_DG-II-Clade-6
NA	0.003	ASV_447_DG-II-Clade-7	**ASV_447_DG-II-Clade-7
NA	0.032	ASV_637_DG-I-Clade-3	*ASV_637_DG-I-Clade-3
NA	0.019	ASV_357_DG-II-Clade-10-and-11	*ASV_357_DG-II-Clade-10-and-11
